Fahrt 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Max RPM;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
RPM;1011;1024;1016;1015;1844;1537;2414;1160;1737;2840;2107;2078;2085;2163;2183;2181;1281;1120;2316;3389;2200;1977;1915;1415;1143;1110;1095;1572;1113;1045;2271;2519;2912;2552;2673;2796;2777;1897;1891;1905;1947;2016;2056;1924;1898;1256;1121;1075;1044;1857;1407;1001;2822;2596;3276;2716;2027;1958;1947;1963;1970;1971;1865;1765;1713;1750;1757;1698;1487;1522;1726;2188;2439;2584;2346;1239;1132;1113;1083;1051;1046;1050;2104;2376;2048;3210;2376;2401;2254;2242;2306;2404;2476;2347;1847;1986;2033;2007;1286;1160;1128;1055;1053;1054;1053;1394;1483;2314;1689;3303;3001;2941;2315;2233;2207;2184;2290;2388;2421;2372;2374;2320;2076;1862;1600;1260;1334;1516;2432;1849;2241;2363;2337;2344;2357;2357;2136;1663;1807;2156;2371;2516;2475;2417;2401;2370;2372;2348;2155;1519;2436;1657;1637;1772;1896;2049;2078;2102;2001;1241;1104;1074;1047; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Longitude;130.620.099;130.620.099;130.620.099;130.620.099;130.620.099;130.620.099;130.620.099;130.620.099;130.620.099;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.622.018;130.622.018;130.622.018;130.622.018;130.622.018;130.622.018;130.622.018;130.620.661;130.620.661;130.620.661;130.622.018;130.622.018;130.622.018;130.622.018;130.622.018;130.622.018;130.622.018;130.581.384;130.581.384;130.581.384;130.560.122;130.560.122;130.560.122;130.560.122;130.560.122;130.560.122;130.560.122;13.053.121;13.053.121;130.517.597;130.517.597;130.517.597;130.517.597;130.518.033;130.518.033;130.518.033;130.517.888;130.517.888;130.517.888;130.517.888;13.051.001;13.051.001;13.051.001;130.507.481;130.507.481;130.507.481;130.501.987;130.501.987;130.501.987;130.501.987;130.486.715;130.486.715;130.487.788;130.487.788;130.487.788;130.487.788;130.487.788;130.487.788;130.487.788;130.487.788;130.488.494;130.488.494;130.489.935;130.489.935;130.489.935;130.489.935;130.489.935;130.489.935;130.489.935;130.489.935;130.489.935;130.489.935;130.489.935;130.489.935;130.512.614;130.512.614;130.512.614;130.512.614;130.512.614;130.512.614;130.512.614;130.512.614;130.512.614;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;13.054.387;130.560.956;130.560.956;130.560.956;130.560.956;130.560.956;130.560.956;130.560.956;130.560.956;130.560.956;130.573.787;130.595.129;130.594.788;130.594.788;13.060.485;13.060.485;13.060.485;13.060.485;13.060.485;13.060.485;13.060.485;13.060.485;130.609.711;130.609.711;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.622.253;130.622.253;130.622.253;130.622.253;130.622.253;130.622.253;130.622.253;130.622.253;130.622.253; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Latitude;477.883.407;477.883.407;477.883.407;477.883.407;477.883.407;477.883.407;477.883.407;477.883.407;477.883.407;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.855.344;477.855.344;477.855.344;477.855.344;477.855.344;477.855.344;477.855.344;477.863.393;477.863.393;477.863.393;477.855.344;477.855.344;477.855.344;477.855.344;477.855.344;477.855.344;477.855.344;47.790.098;47.790.098;47.790.098;477.884.465;477.884.465;477.884.465;477.884.465;477.884.465;477.884.465;477.884.465;477.886.953;477.886.953;477.851.437;477.851.437;477.851.437;477.851.437;477.851.167;477.851.167;477.851.167;477.851.257;477.851.257;477.851.257;477.851.257;477.862.374;477.862.374;477.862.374;47.786.602;47.786.602;47.786.602;477.873.582;477.873.582;477.873.582;477.873.582;477.904.698;477.904.698;477.911.713;477.911.713;477.911.713;477.911.713;477.911.713;477.911.713;477.911.713;477.911.713;477.919.706;477.919.706;477.925.743;477.925.743;477.925.743;477.925.743;477.925.743;477.925.743;477.925.743;477.925.743;477.925.743;477.925.743;477.925.743;477.925.743;477.947.616;477.947.616;477.947.616;477.947.616;477.947.616;477.947.616;477.947.616;477.947.616;477.947.616;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;477.964.288;477.954.729;477.954.729;477.954.729;477.954.729;477.954.729;477.954.729;477.954.729;477.954.729;477.954.729;47.794.735;477.935.612;477.934.426;477.934.426;477.931.415;477.931.415;477.931.415;477.931.415;477.931.415;477.931.415;477.931.415;477.931.415;477.929.317;477.929.317;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.887.324;477.887.324;477.887.324;477.887.324;477.887.324;477.887.324;477.887.324;477.887.324;477.887.324; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Accuracy;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1168;1168;1168;1168;1168;1168;1168;1168;1168;1168;1168;1168;1168;1168;1168;1168;1168;957;957;957;957;957;957;957;957;957;957;957;957;1072;1072;1072;1072;1072;1072;1072;1072;1072;1072;1072;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;883;883;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1286;1286;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Speed; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time; Thu Aug 28 2014 18:53:58 GMT+0200 (CEST); Thu Aug 28 2014 18:54:01 GMT+0200 (CEST); Thu Aug 28 2014 18:54:04 GMT+0200 (CEST); Thu Aug 28 2014 18:54:07 GMT+0200 (CEST); Thu Aug 28 2014 18:54:10 GMT+0200 (CEST); Thu Aug 28 2014 18:54:13 GMT+0200 (CEST); Thu Aug 28 2014 18:54:16 GMT+0200 (CEST); Thu Aug 28 2014 18:54:19 GMT+0200 (CEST); Thu Aug 28 2014 18:54:22 GMT+0200 (CEST); Thu Aug 28 2014 18:54:26 GMT+0200 (CEST); Thu Aug 28 2014 18:54:28 GMT+0200 (CEST); Thu Aug 28 2014 18:54:31 GMT+0200 (CEST); Thu Aug 28 2014 18:54:34 GMT+0200 (CEST); Thu Aug 28 2014 18:54:37 GMT+0200 (CEST); Thu Aug 28 2014 18:54:40 GMT+0200 (CEST); Thu Aug 28 2014 18:54:43 GMT+0200 (CEST); Thu Aug 28 2014 18:54:46 GMT+0200 (CEST); Thu Aug 28 2014 18:54:49 GMT+0200 (CEST); Thu Aug 28 2014 18:54:52 GMT+0200 (CEST); Thu Aug 28 2014 18:54:55 GMT+0200 (CEST); Thu Aug 28 2014 18:54:58 GMT+0200 (CEST); Thu Aug 28 2014 18:55:01 GMT+0200 (CEST); Thu Aug 28 2014 18:55:04 GMT+0200 (CEST); Thu Aug 28 2014 18:55:07 GMT+0200 (CEST); Thu Aug 28 2014 18:55:10 GMT+0200 (CEST); Thu Aug 28 2014 18:55:13 GMT+0200 (CEST); Thu Aug 28 2014 18:55:16 GMT+0200 (CEST); Thu Aug 28 2014 18:55:19 GMT+0200 (CEST); Thu Aug 28 2014 18:55:22 GMT+0200 (CEST); Thu Aug 28 2014 18:55:25 GMT+0200 (CEST); Thu Aug 28 2014 18:55:28 GMT+0200 (CEST); Thu Aug 28 2014 18:55:31 GMT+0200 (CEST); Thu Aug 28 2014 18:55:34 GMT+0200 (CEST); Thu Aug 28 2014 18:55:37 GMT+0200 (CEST); Thu Aug 28 2014 18:55:40 GMT+0200 (CEST); Thu Aug 28 2014 18:55:43 GMT+0200 (CEST); Thu Aug 28 2014 18:55:46 GMT+0200 (CEST); Thu Aug 28 2014 18:55:49 GMT+0200 (CEST); Thu Aug 28 2014 18:55:52 GMT+0200 (CEST); Thu Aug 28 2014 18:55:55 GMT+0200 (CEST); Thu Aug 28 2014 18:55:58 GMT+0200 (CEST); Thu Aug 28 2014 18:56:01 GMT+0200 (CEST); Thu Aug 28 2014 18:56:04 GMT+0200 (CEST); Thu Aug 28 2014 18:56:07 GMT+0200 (CEST); Thu Aug 28 2014 18:56:10 GMT+0200 (CEST); Thu Aug 28 2014 18:56:13 GMT+0200 (CEST); Thu Aug 28 2014 18:56:16 GMT+0200 (CEST); Thu Aug 28 2014 18:56:19 GMT+0200 (CEST); Thu Aug 28 2014 18:56:22 GMT+0200 (CEST); Thu Aug 28 2014 18:56:25 GMT+0200 (CEST); Thu Aug 28 2014 18:56:28 GMT+0200 (CEST); Thu Aug 28 2014 18:56:31 GMT+0200 (CEST); Thu Aug 28 2014 18:56:34 GMT+0200 (CEST); Thu Aug 28 2014 18:56:37 GMT+0200 (CEST); Thu Aug 28 2014 18:56:40 GMT+0200 (CEST); Thu Aug 28 2014 18:56:43 GMT+0200 (CEST); Thu Aug 28 2014 18:56:46 GMT+0200 (CEST); Thu Aug 28 2014 18:56:49 GMT+0200 (CEST); Thu Aug 28 2014 18:56:52 GMT+0200 (CEST); Thu Aug 28 2014 18:56:55 GMT+0200 (CEST); Thu Aug 28 2014 18:56:58 GMT+0200 (CEST); Thu Aug 28 2014 18:57:01 GMT+0200 (CEST); Thu Aug 28 2014 18:57:04 GMT+0200 (CEST); Thu Aug 28 2014 18:57:07 GMT+0200 (CEST); Thu Aug 28 2014 18:57:10 GMT+0200 (CEST); Thu Aug 28 2014 18:57:13 GMT+0200 (CEST); Thu Aug 28 2014 18:57:16 GMT+0200 (CEST); Thu Aug 28 2014 18:57:19 GMT+0200 (CEST); Thu Aug 28 2014 18:57:22 GMT+0200 (CEST); Thu Aug 28 2014 18:57:25 GMT+0200 (CEST); Thu Aug 28 2014 18:57:28 GMT+0200 (CEST); Thu Aug 28 2014 18:57:31 GMT+0200 (CEST); Thu Aug 28 2014 18:57:34 GMT+0200 (CEST); Thu Aug 28 2014 18:57:37 GMT+0200 (CEST); Thu Aug 28 2014 18:57:40 GMT+0200 (CEST); Thu Aug 28 2014 18:57:43 GMT+0200 (CEST); Thu Aug 28 2014 18:57:46 GMT+0200 (CEST); Thu Aug 28 2014 18:57:49 GMT+0200 (CEST); Thu Aug 28 2014 18:57:52 GMT+0200 (CEST); Thu Aug 28 2014 18:57:55 GMT+0200 (CEST); Thu Aug 28 2014 18:57:58 GMT+0200 (CEST); Thu Aug 28 2014 18:58:01 GMT+0200 (CEST); Thu Aug 28 2014 18:58:04 GMT+0200 (CEST); Thu Aug 28 2014 18:58:07 GMT+0200 (CEST); Thu Aug 28 2014 18:58:10 GMT+0200 (CEST); Thu Aug 28 2014 18:58:13 GMT+0200 (CEST); Thu Aug 28 2014 18:58:16 GMT+0200 (CEST); Thu Aug 28 2014 18:58:19 GMT+0200 (CEST); Thu Aug 28 2014 18:58:22 GMT+0200 (CEST); Thu Aug 28 2014 18:58:25 GMT+0200 (CEST); Thu Aug 28 2014 18:58:28 GMT+0200 (CEST); Thu Aug 28 2014 18:58:31 GMT+0200 (CEST); Thu Aug 28 2014 18:58:34 GMT+0200 (CEST); Thu Aug 28 2014 18:58:37 GMT+0200 (CEST); Thu Aug 28 2014 18:58:40 GMT+0200 (CEST); Thu Aug 28 2014 18:58:43 GMT+0200 (CEST); Thu Aug 28 2014 18:58:46 GMT+0200 (CEST); Thu Aug 28 2014 18:58:49 GMT+0200 (CEST); Thu Aug 28 2014 18:58:52 GMT+0200 (CEST); Thu Aug 28 2014 18:58:55 GMT+0200 (CEST); Thu Aug 28 2014 18:58:58 GMT+0200 (CEST); Thu Aug 28 2014 18:59:01 GMT+0200 (CEST); Thu Aug 28 2014 18:59:04 GMT+0200 (CEST); Thu Aug 28 2014 18:59:07 GMT+0200 (CEST); Thu Aug 28 2014 18:59:10 GMT+0200 (CEST); Thu Aug 28 2014 18:59:13 GMT+0200 (CEST); Thu Aug 28 2014 18:59:16 GMT+0200 (CEST); Thu Aug 28 2014 18:59:19 GMT+0200 (CEST); Thu Aug 28 2014 18:59:22 GMT+0200 (CEST); Thu Aug 28 2014 18:59:25 GMT+0200 (CEST); Thu Aug 28 2014 18:59:28 GMT+0200 (CEST); Thu Aug 28 2014 18:59:31 GMT+0200 (CEST); Thu Aug 28 2014 18:59:34 GMT+0200 (CEST); Thu Aug 28 2014 18:59:37 GMT+0200 (CEST); Thu Aug 28 2014 18:59:40 GMT+0200 (CEST); Thu Aug 28 2014 18:59:43 GMT+0200 (CEST); Thu Aug 28 2014 18:59:46 GMT+0200 (CEST); Thu Aug 28 2014 18:59:49 GMT+0200 (CEST); Thu Aug 28 2014 18:59:52 GMT+0200 (CEST); Thu Aug 28 2014 18:59:55 GMT+0200 (CEST); Thu Aug 28 2014 18:59:58 GMT+0200 (CEST); Thu Aug 28 2014 19:00:01 GMT+0200 (CEST); Thu Aug 28 2014 19:00:04 GMT+0200 (CEST); Thu Aug 28 2014 19:00:07 GMT+0200 (CEST); Thu Aug 28 2014 19:00:10 GMT+0200 (CEST); Thu Aug 28 2014 19:00:13 GMT+0200 (CEST); Thu Aug 28 2014 19:00:16 GMT+0200 (CEST); Thu Aug 28 2014 19:00:19 GMT+0200 (CEST); Thu Aug 28 2014 19:00:22 GMT+0200 (CEST); Thu Aug 28 2014 19:00:25 GMT+0200 (CEST); Thu Aug 28 2014 19:00:28 GMT+0200 (CEST); Thu Aug 28 2014 19:00:31 GMT+0200 (CEST); Thu Aug 28 2014 19:00:34 GMT+0200 (CEST); Thu Aug 28 2014 19:00:37 GMT+0200 (CEST); Thu Aug 28 2014 19:00:40 GMT+0200 (CEST); Thu Aug 28 2014 19:00:43 GMT+0200 (CEST); Thu Aug 28 2014 19:00:46 GMT+0200 (CEST); Thu Aug 28 2014 19:00:49 GMT+0200 (CEST); Thu Aug 28 2014 19:00:52 GMT+0200 (CEST); Thu Aug 28 2014 19:00:55 GMT+0200 (CEST); Thu Aug 28 2014 19:00:58 GMT+0200 (CEST); Thu Aug 28 2014 19:01:01 GMT+0200 (CEST); Thu Aug 28 2014 19:01:04 GMT+0200 (CEST); Thu Aug 28 2014 19:01:07 GMT+0200 (CEST); Thu Aug 28 2014 19:01:10 GMT+0200 (CEST); Thu Aug 28 2014 19:01:13 GMT+0200 (CEST); Thu Aug 28 2014 19:01:16 GMT+0200 (CEST); Thu Aug 28 2014 19:01:19 GMT+0200 (CEST); Thu Aug 28 2014 19:01:22 GMT+0200 (CEST); Thu Aug 28 2014 19:01:25 GMT+0200 (CEST); Thu Aug 28 2014 19:01:28 GMT+0200 (CEST); Thu Aug 28 2014 19:01:31 GMT+0200 (CEST); Thu Aug 28 2014 19:01:34 GMT+0200 (CEST); Thu Aug 28 2014 19:01:37 GMT+0200 (CEST); Thu Aug 28 2014 19:01:40 GMT+0200 (CEST); Thu Aug 28 2014 19:01:43 GMT+0200 (CEST); Thu Aug 28 2014 19:01:46 GMT+0200 (CEST); Thu Aug 28 2014 19:01:49 GMT+0200 (CEST); Thu Aug 28 2014 19:01:52 GMT+0200 (CEST); Thu Aug 28 2014 19:01:55 GMT+0200 (CEST); Thu Aug 28 2014 19:01:58 GMT+0200 (CEST); Thu Aug 28 2014 19:02:01 GMT+0200 (CEST); Thu Aug 28 2014 19:02:04 GMT+0200 (CEST); ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maximal;3389;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Minimal;1001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Durchschnitt;1925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fahrt 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
